	name	stock	price	description	allergy	notice
1	다이어트 샐러드A	10	7000	"완제품 샐러드	 다이어트 식품"	"아몬드가 포함되어 견과류 알러지 주의"	""
2	다이어트 샐러드B	5	9000	"완제품 샐러드	 다이어트 식품	 다이어트 샐러드A에서 아몬드 대신 연어를 추가"	""	""
3	다이어트 샐러드C	0	8000	"완제품 샐러드	 다이어트 식품	 다이어트 샐러드A에서 아몬드 대신 닭가슴살을 추가"	""	""
4	우유	20	1500	"신선한 우유	 1리터"	"유당 불내증 주의"	""
5	커피우유	15	2500	"커피와 우유의 조화	 1리터"	"유당 불내증 주의"	""
6	아몬드 밀크	12	3000	"아몬드로 만든 대체 우유	 1리터"	"견과류 알러지 주의"	""
7	오트 밀크	10	3200	"귀리로 만든 대체 우유	 1리터"	""	""
8	엘리스 콜라	25	1200	"탄산음료.	 355ml"	""	""
9	엘리스 콜라 제로	30	1300	"제로 칼로리 탄산음료	 355ml	 제로 음료"	""	"당분 함유 없음"
10	라떼	10	4500	"커피와 우유를 섞은 음료	 500ml"	"유당 불내증 주의"	""
